index,X,Y,Z
97,-2.38217147,4.48144148,6.38883125
98,-2.38118605,7.97124805,6.38886072
99,-2.37995501,12.16191585,6.38889758
100,-2.37893504,15.65413803,6.3889281
101,-2.37791518,19.14636097,6.3889586
102,-2.37669158,23.33702875,6.38899517
103,-2.37567216,26.82925203,6.38902562
104,-2.37465278,30.32147525,6.38905605
105,-2.37342937,34.51214438,6.38909255
106,-2.37240969,38.00436912,6.38912296
107,-2.37138998,41.49658768,6.38915335
108,-2.37015636,45.68725519,6.38919012
109,-2.36958095,49.17768593,6.38933776
110,-2.36848843,50.7367698,4.81506212
111,-2.36092478,51.84958607,3.38431454
112,-0.00000247,0.08620157,3.14991793
113,-0.00000128,2.27250992,4.83875181
114,-0.0000001,4.53478151,6.42438459
115,0.00000008,8.02013091,6.42436711
116,0.0000003,12.20255018,6.42436526
117,0.00000048,15.68789958,6.42436371
118,0.00000066,19.17324897,6.42436217
119,0.00000088,23.35566825,6.42436032
120,0.00000106,26.84101764,6.42435878
121,0.00000124,30.32636704,6.42435723
122,0.00000145,34.50878631,6.42435538
123,0.00000164,37.9941357,6.42435384
124,0.00000182,41.4794851,6.4243523
125,0.00000203,45.66190437,6.42435045
126,0.00000221,49.14725377,6.42434891
127,0.00000612,50.74134502,4.80941693
128,0.00000382,51.86232744,3.36720016
129,2.3533051,0.08620294,3.14991905
130,2.36655084,2.24587558,4.81913566
131,2.38217147,4.48144148,6.38883125
132,2.38118605,7.97124805,6.38886072
133,2.37995501,12.16191585,6.38889758
134,2.37893504,15.65413803,6.3889281
135,2.37791518,19.14636097,6.3889586
136,2.37669158,23.33702875,6.38899517
137,2.37567216,26.82925203,6.38902562
138,2.37465278,30.32147525,6.38905605
139,2.37342937,34.51214438,6.38909255
140,2.37240969,38.00436912,6.38912296
141,2.37138998,41.49658768,6.38915335
142,2.37015636,45.68725519,6.38919012
143,2.36958095,49.17768593,6.38933776
144,2.36848843,50.7367698,4.81506212
145,2.36092478,51.84958607,3.38431454
146,4.11828208,0.08620352,3.14991952
147,4.13830108,2.18625513,4.77514251
148,4.16379063,4.35911602,6.30685211
149,4.16176649,7.86350725,6.3069752
150,4.15990403,12.07220646,6.30708796
151,4.15836176,15.57945392,6.30718127
152,4.15681966,19.08670293,6.30727453
153,4.15496953,23.29540239,6.30738636
154,4.15342818,26.80265241,6.30747948
155,4.15188687,30.30990254,6.30757255
156,4.1500369,34.51860494,6.30768419
157,4.14849507,38.02585836,6.3077772
158,4.14695303,41.53310108,6.30787017
159,4.1450866,45.74180096,6.30798265
160,4.14352651,49.24734355,6.30802651
161,4.1418229,50.76194449,4.78397776
162,4.13162122,51.84002086,3.39715074
163,6.47158471,0.08620429,3.14992014
164,6.4897276,2.04055889,4.66715181
165,6.51900371,4.0595258,6.10414471
166,6.51622127,7.60033981,6.10445825
167,6.51437681,11.85351868,6.10466515
168,6.5128456,15.39783249,6.10483683
169,6.51131455,18.94215087,6.10500844
170,6.50947783,23.19533577,6.10521422
171,6.50794779,26.73965955,6.10538558
172,6.50641779,30.28398532,6.10555688
173,6.50458094,34.53717859,6.10576245
174,6.50305019,38.08151668,6.1059337
175,6.50151867,41.62583857,6.10610497
176,6.49967093,45.87903249,6.10631154
177,6.49813753,49.42134917,6.10647305
178,6.50024577,50.84102182,4.68598011
179,6.49254982,51.82725501,3.41426623
180,8.82488735,0.08620506,3.14992077
181,8.82493266,1.8026847,4.48935399
182,8.82488551,3.5670072,5.7646085
183,8.82490547,7.17175428,5.76463618
184,8.82492959,11.49746902,5.76466936
185,8.82494989,15.10221561,5.76469698
186,8.82497048,18.70696903,5.76472454
187,8.82499585,23.03267151,5.76475749
188,8.82501781,26.63742436,5.7647848
189,8.82503976,30.24217669,5.76481211
190,8.82506514,34.56788982,5.76484507
191,8.82508573,38.17264267,5.76487263
192,8.82510602,41.77738577,5.76490025
193,8.82513014,46.10313194,5.76493343
194,8.82515041,49.70784448,5.76498759
195,8.85221947,50.97801135,4.51490876
196,8.85347842,51.81447517,3.43138235
197,10.93585654,0.08620575,3.14992133
198,10.40703779,1.57589339,4.31810902
199,10.60008274,2.57952695,5.06320979
200,10.54685466,6.96798547,5.09684048
201,10.54100755,10.6919154,5.10051783
202,10.53531689,14.41828248,5.10408719
203,10.52962166,18.14459566,5.10764869
204,10.52278128,22.61609779,5.11191214
205,10.51707599,26.34228632,5.11545634
206,10.51136596,30.0684165,5.11899278
207,10.50450761,34.53969801,5.1232263
208,10.49878651,38.26569443,5.12674606
209,10.49306154,41.99163387,5.13025753
210,10.48618582,46.46268383,5.13446076
211,10.48710065,50.17982566,5.13451429
212,10.12685296,51.05871,4.41334108
213,10.31216608,51.80657222,3.44195778
214,11.57816736,1.47771477,4.24347484
215,11.5728814,5.32875238,4.2492621
216,11.5665263,9.9499975,4.25619573
217,11.56122044,13.80103511,4.26196452
218,11.55590555,17.65207389,4.26772491
219,11.54951578,22.27331935,4.27462625
220,11.54418107,26.12435723,4.28036808
221,11.53883737,29.97539511,4.28610146
222,11.53241309,34.59664057,4.29297033
223,11.52704966,38.44767845,4.29868505
224,11.5216773,42.29871634,4.30439128
225,11.51521867,46.9199618,4.31122751
226,11.50940727,50.77150704,4.31684737
227,12.34316937,0.08614981,3.149876
228,12.34320729,4.10835492,3.1499073
229,12.3432543,8.93502718,3.14992967
230,12.34329359,12.95723576,3.14994808
231,12.34333303,16.97947169,3.14996619
232,12.34338074,21.80613744,3.1499872
233,12.34342095,25.82835893,3.15000384
234,12.34346115,29.85058027,3.15002047
235,12.34350886,34.67724566,3.15004148
236,12.34354831,38.69946673,3.15005959
237,12.34358759,42.72168777,3.15007801
238,12.3436346,47.54835306,3.15010037
239,12.34367992,51.5705778,3.15012487
